shadow_exit_time,shadow_activated,shadow_max_retrace
2025-09-02T15:20:00.000000+0000,false,
2025-09-02T17:47:00.000000+0000,true,0.60172709774749
2025-09-04T04:01:00.000000+0000,false,
2025-09-07T04:01:00.000000+0000,false,
2025-09-07T08:01:00.000000+0000,false,
2025-09-07T08:01:00.000000+0000,false,
2025-09-08T04:01:00.000000+0000,true,0.1176319176319176
2025-09-08T04:01:00.000000+0000,false,
2025-09-08T08:01:00.000000+0000,true,0.18144048615632655
2025-09-08T08:01:00.000000+0000,true,0.12026809651474528
2025-09-08T17:14:00.000000+0000,false,
2025-09-08T17:17:00.000000+0000,true,0.48247384841255275
2025-09-09T04:01:00.000000+0000,true,0.31774918724493323
2025-09-09T08:01:00.000000+0000,true,0.31774918724493323
2025-09-09T08:01:00.000000+0000,true,0.14024421660054615
2025-09-09T08:01:00.000000+0000,true,0.08444877099050864
2025-09-09T08:01:00.000000+0000,true,0.31774918724493323
2025-09-13T04:01:00.000000+0000,true,0.6478947368421053
2025-09-13T08:01:00.000000+0000,true,0.6478947368421053
2025-09-13T08:01:00.000000+0000,false,
2025-09-13T08:01:00.000000+0000,true,0.6478947368421053
2025-09-14T04:01:00.000000+0000,false,
2025-09-14T08:01:00.000000+0000,false,
2025-09-17T08:01:00.000000+0000,false,
2025-09-18T04:01:00.000000+0000,false,
2025-09-18T08:01:00.000000+0000,false,
2025-09-21T04:01:00.000000+0000,true,0.17081612146924194
2025-09-21T04:01:00.000000+0000,false,
2025-09-21T08:01:00.000000+0000,true,0.17567811934900554
2025-09-21T08:01:00.000000+0000,true,0.17081612146924194
2025-09-21T08:01:00.000000+0000,true,0.12440017742650912
2025-09-22T08:01:00.000000+0000,false,
2025-09-24T04:01:00.000000+0000,false,
2025-09-28T08:01:00.000000+0000,false,
2025-09-28T08:01:00.000000+0000,false,
2025-09-28T08:01:00.000000+0000,false,
2025-10-02T08:01:00.000000+0000,false,
2025-10-06T08:01:00.000000+0000,false,
2025-10-12T21:37:00.000000+0000,true,0.5801064859632138
2025-10-16T00:06:00.000000+0000,false,
2025-10-16T08:01:00.000000+0000,false,
2025-10-20T04:01:00.000000+0000,false,
2025-10-21T08:01:00.000000+0000,false,
2025-10-27T04:01:00.000000+0000,false,
2025-10-27T08:01:00.000000+0000,false,
2025-11-02T04:01:00.000000+0000,false,
2025-11-06T04:01:00.000000+0000,true,0.26277372262773724
2025-11-06T08:01:00.000000+0000,true,0.26277372262773724
2025-11-08T04:01:00.000000+0000,true,0.26874685455460495
2025-11-08T08:01:00.000000+0000,false,
2025-11-20T08:01:00.000000+0000,true,0.21399267399267408
2025-11-20T08:01:00.000000+0000,false,
2025-11-20T08:01:00.000000+0000,false,
2025-12-04T08:01:00.000000+0000,false,
2025-12-04T08:01:00.000000+0000,false,
2025-12-07T04:01:00.000000+0000,false,
